CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
918;4700;VIA BARBERIA;13;Porto - Saragozza;VIA DEL RICCIO;VIA CESARE BATTISTI;52;43;1991-10-21;37.0;16;;16;;13;;13;;44.49201859836341, 11.338026823830472;"{""coordinates"": [[11.337852724128986, 44.492132262290625], [11.337901262380234, 44.49208514796754], [11.33821006312322, 44.491917361821656]], ""type"": ""LineString""}";758906.0
919;56350;VICOLO STRADELLACCIO;13;Porto - Saragozza;VIA DEL RICCIO;VIA DEL FOSSATO;38;29;1991-10-21;102.0;2;;2;;1;;9;;44.49149305474385, 11.337040711655565;"{""coordinates"": [[11.337660126326, 44.491375334698944], [11.336919825746602, 44.49152081372188], [11.336531480425442, 44.491586442700275], [11.336418700873354, 44.491577893916215]], ""type"": ""LineString""}";760348.0
922;35400;VIA SANTA MARGHERITA;13;Porto - Saragozza;VIA DE' GRIFFONI;VIA CESARE BATTISTI;54;51;1991-10-21;70.0;14;;18;C;19;;21;;44.49285020805601, 11.3386836489451;"{""coordinates"": [[11.339112611680212, 44.492780179749346], [11.33880751207917, 44.49282858120345], [11.33836877493714, 44.49290079445071], [11.33825746626915, 44.49293288204516]], ""type"": ""LineString""}";760293.0
1096;700;VIA DEGLI AGRESTI;13;Porto - Saragozza;PIAZZA GALILEO GALILEI;VIA VOLTO SANTO;131;132;1991-10-21;97.0;2;;6;;1;;11;;44.493419060123244, 11.340034877270282;"{""coordinates"": [[11.340629659360909, 44.493314968661494], [11.340314912278012, 44.49336684890093], [11.339440831081603, 44.49352737540491]], ""type"": ""LineString""}";759135.0
1100;35400;VIA SANTA MARGHERITA;13;Porto - Saragozza;PIAZZA DE' CELESTINI;VICOLO SPIRITO SANTO;138;134;1991-10-21;47.0;2;;4;B;1;;1;D;44.49262036467614, 11.340921396477823;"{""coordinates"": [[11.341200537792897, 44.492547530703646], [11.340813261134386, 44.492650594099594], [11.340640775137189, 44.492686990368625]], ""type"": ""LineString""}";760293.0
1103;22000;VIA LUIGI CARLO FARINI;15;Santo Stefano;PIAZZA LUIGI GALVANI;VIA DEL CANE;6042;15292;1991-10-21;12.0;;;;;;;;;44.49137356323333, 11.3428885129395;"{""coordinates"": [[11.342961385554158, 44.491375024950074], [11.34281564032484, 44.49137210151659]], ""type"": ""LineString""}";759016.0
1105;22000;VIA LUIGI CARLO FARINI;15;Santo Stefano;PIAZZA LUIGI GALVANI;PIAZZA CAVOUR;15291;6082;1991-10-21;45.0;8;;10;B;7;;7;I;44.491392822234886, 11.343397248029628;"{""coordinates"": [[11.343114620079996, 44.491382493824005], [11.3432091773989, 44.491386989758794], [11.343679925402753, 44.49140190292318]], ""type"": ""LineString""}";759016.0
11846;57970;VIA CARLO TOGLIANI;12;Navile;;;17738;18018;2020-02-03;58.0;;;;;;;;;44.51345081834001, 11.33756279864112;"{""coordinates"": [[11.337613089650906, 44.51367188490881], [11.337521130258061, 44.51360017208056], [11.337497559870158, 44.513577401118965], [11.337487680013773, 44.51355278336948], [11.337485156997786, 44.513534370782224], [11.337664501742461, 44.513203275123765]], ""type"": ""LineString""}";1209245.0
11365;63100;VIA FRANCESCO ZANARDI;12;Navile;VIA FRANCESCO ZANARDI;ROTONDA LUIGI AMEDEO DI SAVOIA-AOSTA DUCA DEGLI ABRUZZI;13206;17781;1994-09-27;90.0;132;;134;4;165;;165;;44.52053682248376, 11.32186541186411;"{""coordinates"": [[11.321845599277829, 44.52093810803902], [11.32181844699122, 44.52075798808682], [11.321812110022828, 44.520715363856475], [11.321812872510717, 44.520640186038506], [11.321829623216349, 44.52055759801884], [11.32197412581798, 44.520144934628526]], ""type"": ""LineString""}";759601.0
11572;10000;VIA PAOLO BOVI CAMPEGGI;13;Porto - Saragozza;VIA PAOLO BOVI CAMPEGGI;ROTONDA AYRTON SENNA;16716;17878;1997-11-06;34.0;;;;;;;;;44.50522279228252, 11.336755897258664;"{""coordinates"": [[11.336562008964403, 44.50528525093892], [11.336949785552925, 44.505160333626115]], ""type"": ""LineString""}";760093.0
3544;21450;VIA ERBOSA;12;Navile;VIA FRATELLI GRUPPI;VIA FRATELLI CERVI;10658;10669;1991-10-21;67.0;18;4;20;;9;;9;2;44.5202669108608, 11.340231703072067;"{""coordinates"": [[11.340120638293586, 44.52055798491221], [11.340156156611524, 44.52040079245439], [11.34022710952551, 44.520245187202256], [11.34032982917172, 44.52007971201991], [11.340384244451888, 44.51999346827313]], ""type"": ""LineString""}";759500.0
7150;55700;VIA SPERANZA;11;Borgo Panigale - Reno;VIA EGNAZIA;VIA SPERANZA;8665;14663;1997-06-19;14.0;26;;26;B;;;;;44.50657565273221, 11.296700184906806;"{""coordinates"": [[11.296754545100587, 44.50662787680105], [11.296645824713025, 44.50652342866338]], ""type"": ""LineString""}";760339.0
7151;55700;VIA SPERANZA;11;Borgo Panigale - Reno;VIA SPERANZA;VIA LICINIA;14663;8662;1997-06-19;25.0;28;;28;;37;;37;D;44.506433584702705, 11.296547289835448;"{""coordinates"": [[11.296645824713025, 44.50652342866338], [11.296448754957872, 44.50634374074203]], ""type"": ""LineString""}";760339.0
7152;55700;VIA SPERANZA;11;Borgo Panigale - Reno;VIA SPERANZA;VIA SPERANZA;14663;14664;1997-06-19;60.0;;;;;23;;35;;44.50662183856345, 11.29629690521198;"{""coordinates"": [[11.296645824713025, 44.50652342866338], [11.29654935392936, 44.506546975653784], [11.296153710682217, 44.50665981439308], [11.296052982519418, 44.50669605020062], [11.29595340444099, 44.50673690811606]], ""type"": ""LineString""}";760339.0
861;49900;VIA RIALTO;15;Santo Stefano;VIA BRAINA;VIA ORFEO;6021;6002;1991-10-21;159.0;24;;54;B;23;;33;D;44.48772570596489, 11.348782638846911;"{""coordinates"": [[11.34842243135921, 44.4870608852079], [11.348630779216801, 44.487443692304105], [11.3488777759562, 44.48789507772431], [11.348957155877335, 44.48803724274879], [11.34896294451587, 44.48806269999967], [11.349112705877626, 44.48835122119282], [11.349140066021393, 44.48839116081936]], ""type"": ""LineString""}";760207.0
862;16450;VIA CHIUDARE;15;Santo Stefano;VIA ARIENTI;VIA DELL'ORO;6007;6020;1991-10-21;100.0;2;;8;;3;;7;2A;44.48689038277385, 11.346518844537345;"{""coordinates"": [[11.34642768415203, 44.4864452553401], [11.34661000492266, 44.48733551020759]], ""type"": ""LineString""}";759057.0
863;14700;VIA CASTIGLIONE;15;Santo Stefano;VIA ORFEO;VIA DELL'ORO;6024;6008;1991-10-21;99.0;62;2;86;A;59;;71;;44.48657569880898, 11.348267488056466;"{""coordinates"": [[11.34825106672002, 44.487022872499566], [11.348254892024753, 44.486946172734044], [11.348256200653351, 44.48672125201488], [11.34826896594693, 44.48652327444531], [11.348285979981815, 44.486344988167254], [11.348276585159631, 44.48612880406554]], ""type"": ""LineString""}";759038.0
864;42300;VIA ORFEO;15;Santo Stefano;VIA RIALTO;VIA DEGLI ANGELI;5996;6021;1991-10-21;114.0;2;;24;C;1;;19;E;44.486916323014654, 11.34910520800631;"{""coordinates"": [[11.349782599439113, 44.48675060980074], [11.349655130420677, 44.48679163866291], [11.349504372792406, 44.48683397494777], [11.349273158793837, 44.48688989528178], [11.34877429009739, 44.48698371392717], [11.348568839018245, 44.4870288848006], [11.34842243135921, 44.4870608852079]], ""type"": ""LineString""}";760072.0
867;43950;VIALE ENRICO PANZACCHI;15;Santo Stefano;VIA ALFONSO RUBBIANI;VIA SAVENELLA;5968;5969;1991-10-21;140.0;;;;;9;;15;;44.486008016426396, 11.343573719580112;"{""coordinates"": [[11.342705951358228, 44.48611404805508], [11.344441487801996, 44.4859019847977]], ""type"": ""LineString""}";759495.0
869;55300;VIA ALBANO SORBELLI;15;Santo Stefano;VIA DE' COLTELLI;VIA ALBANO SORBELLI;6004;6005;1991-10-21;92.0;2;;12;;1;;7;;44.48716736764335, 11.350882635572802;"{""coordinates"": [[11.350430992685112, 44.487428651365086], [11.351334278460493, 44.48690608392161]], ""type"": ""LineString""}";758725.0
870;10050;VIA BRAINA;15;Santo Stefano;VIA RIALTO;VIA DE' COLTELLI;6002;6003;1991-10-21;145.0;2;;18;;1;;15;B;44.48797784405581, 11.349848712417081;"{""coordinates"": [[11.349140066021393, 44.48839116081936], [11.350557358812768, 44.487564527292264]], ""type"": ""LineString""}";759283.0
876;52950;VIA SARAGOZZA;13;Porto - Saragozza;VIA BELLINZONA;VIA ALESSANDRO GUIDOTTI;4664;15712;1991-10-21;48.0;;;;;97;;101;2B;44.49032445116772, 11.326388536697886;"{""coordinates"": [[11.326085628708586, 44.490308078682794], [11.32641001611901, 44.49032475802189], [11.326691339278963, 44.490342656275374]], ""type"": ""LineString""}";760309.0
878;52950;VIA SARAGOZZA;13;Porto - Saragozza;VIA FRANCESCO ALBERGATI;VIA BELLINZONA;15712;6027;1991-10-21;67.0;118;;120;;89;;95;B;44.490364295658566, 11.327109910234054;"{""coordinates"": [[11.326691339278963, 44.490342656275374], [11.327528481189143, 44.49038593504175]], ""type"": ""LineString""}";760309.0
699;27050;VIA BENIAMINO GIGLI;15;Santo Stefano;VIA LUDWIG LEJZER ZAMENHOF;VIA NICCOLO' PAGANINI;5840;5875;1991-10-21;58.0;12;;14;B;13;;15;;44.47690691500427, 11.368877575829305;"{""coordinates"": [[11.368646573956509, 44.47670678317524], [11.3686887693673, 44.4767402795706], [11.369056253207688, 44.47706398552084], [11.36910567374817, 44.47711039459303]], ""type"": ""LineString""}";758932.0
704;50850;VIA AUGUSTO ROMAGNOLI;15;Santo Stefano;VIA MALVOLTA;VIA ALFREDO CATALANI;5858;5856;1991-10-21;75.0;6;;8;;11;;15;;44.475359196687286, 11.368851302079296;"{""coordinates"": [[11.369092146705619, 44.47564387187022], [11.368883523890117, 44.47540773273472], [11.368752302151488, 44.4752538463969], [11.368634207646451, 44.47505708718455]], ""type"": ""LineString""}";758892.0
909;59900;VIA URBANA;13;Porto - Saragozza;VIA BELFIORE;VIA BOCCA DI LUPO;33;39;1991-10-21;75.0;8;2;8;2;;;;;44.49023990789155, 11.338633961191185;"{""coordinates"": [[11.339103045669198, 44.49019271662049], [11.33816487671317, 44.4902870991626]], ""type"": ""LineString""}";760399.0
910;41150;VICOLO DELLA NEVE;13;Porto - Saragozza;VIA SENZANOME;VIA NOSADELLA;30;19;1991-10-21;64.0;4;;10;A;5;;7;2;44.49183591827262, 11.335507779178876;"{""coordinates"": [[11.33590482529952, 44.491822432658076], [11.335764402142106, 44.49181611436594], [11.335651068374759, 44.491816686783196], [11.335553742911852, 44.49182129782059], [11.335450626413296, 44.4918330132613], [11.3352482208137, 44.49186158706768], [11.335112434948853, 44.491880065266]], ""type"": ""LineString""}";759319.0
895;23800;VIA UGO FOSCOLO;13;Porto - Saragozza;MURA DI PORTA SARAGOZZA;VIALE CARLO PEPOLI;4;16665;1991-10-21;113.0;;;;;7;;7;;44.49183432216477, 11.330010831512539;"{""coordinates"": [[11.330687616523921, 44.49168012290081], [11.329700333444634, 44.491910882516606], [11.32948811789261, 44.491952168906124], [11.329329372595677, 44.491947485942106]], ""type"": ""LineString""}";760388.0
4005;18700;VIA CROCIONE;14;San Donato - San Vitale;VIA PIETRO FIORINI;VIA PIRATINO;10971;11012;1991-10-21;103.0;;;;;;;;;44.51641692384245, 11.423359434714333;"{""coordinates"": [[11.422774016914277, 44.51661405038612], [11.423365672094102, 44.51641309478326], [11.423763987242936, 44.51628137498319], [11.423880962998169, 44.51624614885528], [11.423947024461842, 44.51622654290232]], ""type"": ""LineString""}";759090.0
4007;30580;ROTONDA ITALIA;14;San Donato - San Vitale;RAMPA TANG.USCITA DODICI CASAL.-S.LAZZARO;VIALE ROBERTO VIGHI;7030;7033;1991-10-21;118.0;;;;;;;;;44.484366609585976, 11.406971157610718;"{""coordinates"": [[11.406251615324775, 44.48442814699716], [11.40650841094277, 44.48433993674206], [11.406711377327738, 44.48432708719115], [11.406897282273913, 44.4843360231892], [11.407262700215597, 44.4843758063373], [11.407698248820783, 44.48441368599821], [11.40769502562315, 44.484413285848056]], ""type"": ""LineString""}";759843.0
4008;30580;ROTONDA ITALIA;14;San Donato - San Vitale;VIALE ROBERTO VIGHI;RAMPA TANG.USCITA DODICI CASAL.-S.LAZZARO;7037;7030;1991-10-21;90.0;;;;;;;;;44.48476228047057, 11.406015912107616;"{""coordinates"": [[11.405895406610579, 44.48517033850005], [11.405903704792419, 44.48513329800108], [11.405979447213655, 44.48476728577391], [11.406025171478147, 44.48461776129051], [11.406099201174372, 44.48452567985737], [11.406251615324775, 44.48442814699716]], ""type"": ""LineString""}";759843.0
10156;53730;ROTONDA ANGELO SCHIAVIO;13;Porto - Saragozza;ROTONDA ANGELO SCHIAVIO;ROTONDA ANGELO SCHIAVIO;17296;17299;2007-02-26;291.0;;;;;;;;;44.491550749849715, 11.3100824577254;"{""coordinates"": [[11.310895887600612, 44.49224570004262], [11.310894147123394, 44.49217427270595], [11.310905943003215, 44.49209847516727], [11.310918463217925, 44.49199039767519], [11.310927164096654, 44.491919668227176], [11.310931449429871, 44.491861964889196], [11.310929917964677, 44.491823203723655], [11.31092308814123, 44.49177512410226], [11.310914764302378, 44.491730612742934], [11.310899914171092, 44.49168740383431], [11.31087414396948, 44.49161737219445], [11.310844156743244, 44.491565070993666], [11.310783916019883, 44.49149574611368], [11.310727710342565, 44.491445145939544], [11.3106905377873, 44.49141884558678], [11.31060149502598, 44.491368910019425], [11.31054119883391, 44.49133955764242], [11.31045449902563, 44.49130721961892], [11.310320334988571, 44.49127936214965], [11.310176597207011, 44.4912587562999], [11.310041496033332, 44.49124856254874], [11.309901620162185, 44.49124198526569], [11.309793467106665, 44.49124888201057], [11.309706930678471, 44.49126239031685], [11.309644886016327, 44.491271874016356], [11.309581659315482, 44.4912931479856], [11.309476404742192, 44.491331728929836], [11.309389765188538, 44.49138404025587], [11.309312226086254, 44.49145852085586], [11.309217728221423, 44.49156154957876], [11.309198639923244, 44.49166071215073], [11.309130971874458, 44.49207507486042]], ""type"": ""LineString""}";758817.0
10158;53730;ROTONDA ANGELO SCHIAVIO;13;Porto - Saragozza;VIA DELLO SPORT;ROTONDA ANGELO SCHIAVIO;17298;17299;2007-02-26;74.0;;;;;;;;;44.49203159283789, 11.308672223889443;"{""coordinates"": [[11.308213475904429, 44.491988110815356], [11.309130971874458, 44.49207507486042]], ""type"": ""LineString""}";758817.0
7301;10100;VIA LUIGI BREVENTANI;13;Porto - Saragozza;VIA ANDREA COSTA;VIA LUIGI BREVENTANI;14767;4713;1997-06-24;125.0;2;;12;;1;;5;;44.49480395976393, 11.322536638080091;"{""coordinates"": [[11.322266274784335, 44.49427710149012], [11.322807001375846, 44.49533081803773]], ""type"": ""LineString""}";759922.0
7304;10100;VIA LUIGI BREVENTANI;13;Porto - Saragozza;VIA LUIGI BREVENTANI;VIA LUIGI BREVENTANI;14769;14768;1997-06-24;11.0;;;;;19;;29;;44.494443755004, 11.321646534934889;"{""coordinates"": [[11.321707672073222, 44.494425474219824], [11.321585397796554, 44.49446203578818]], ""type"": ""LineString""}";759922.0
7305;10100;VIA LUIGI BREVENTANI;13;Porto - Saragozza;VIA LUIGI BREVENTANI;VIA LUIGI BREVENTANI;14769;14770;1997-06-24;36.0;;;;;13;;17;;44.49457889779561, 11.321783952326768;"{""coordinates"": [[11.321707672073222, 44.494425474219824], [11.321860232580315, 44.4947323213714]], ""type"": ""LineString""}";759922.0
7306;59500;VIA FILIPPO TURATI;13;Porto - Saragozza;VIA ANDREA COSTA;VIA FILIPPO TURATI;4715;14771;1997-06-24;97.0;2;;8;A;1;;23;B;44.494808788224155, 11.32378490130286;"{""coordinates"": [[11.324012262697213, 44.49521139990756], [11.323772606169406, 44.49479039334962], [11.32356058403883, 44.494404474023256]], ""type"": ""LineString""}";759555.0
7307;59500;VIA FILIPPO TURATI;13;Porto - Saragozza;VIA FILIPPO TURATI;VIA FILIPPO TURATI;14771;13911;1997-06-24;51.0;30;;32;A;23;5;33;;44.49419640978763, 11.323431253161015;"{""coordinates"": [[11.32356058403883, 44.494404474023256], [11.323301922283202, 44.493988345552]], ""type"": ""LineString""}";759555.0
7308;59500;VIA FILIPPO TURATI;13;Porto - Saragozza;VIA FILIPPO TURATI;VIA FILIPPO TURATI;14771;14772;1997-06-24;65.0;10;;24;;;;;;44.49430124720908, 11.323942336853;"{""coordinates"": [[11.32356058403883, 44.494404474023256], [11.324037866729865, 44.49427316024414], [11.324325545045681, 44.49420365484619]], ""type"": ""LineString""}";759555.0
7313;59500;VIA FILIPPO TURATI;13;Porto - Saragozza;VIA FILIPPO TURATI;VIA FILIPPO TURATI;14773;14776;1997-06-24;56.0;86;;98;;;;;;44.49054922724275, 11.32163072500173;"{""coordinates"": [[11.321293764518055, 44.49060770998171], [11.321353146691893, 44.490613281407995], [11.321746928612372, 44.490524339838295], [11.321966095795124, 44.49047155617407]], ""type"": ""LineString""}";759555.0
2002;23230;VIA FIRENZE;16;Savena;VIA PORTAZZA;VIA LUIGI LONGO;6672;6716;1991-10-21;144.0;12;;22;;19;;39;;44.4698098456648, 11.385525192840651;"{""coordinates"": [[11.385370370562677, 44.469171752300035], [11.38541878203926, 44.46934472515769], [11.385639088553955, 44.470310017630666], [11.385685981767594, 44.47044600333877]], ""type"": ""LineString""}";759557.0
682;14850;VIA ALFREDO CATALANI;15;Santo Stefano;VIA STEFANO GOBATTI;VIA DEI LAMPONI;5861;5860;1991-10-21;60.0;4;2;8;;3;;3;C;44.47515787730184, 11.370102744304956;"{""coordinates"": [[11.369786524741846, 44.475308344958606], [11.370418963868067, 44.475007409645066]], ""type"": ""LineString""}";758780.0
697;43200;VIA NICCOLO' PAGANINI;15;Santo Stefano;VIA BENIAMINO GIGLI;VIA AUGUSTO ROMAGNOLI;5875;5853;1991-10-21;90.0;2;;4;A;;;;;44.47689725403146, 11.369585056456675;"{""coordinates"": [[11.36910567374817, 44.47711039459303], [11.369173615019339, 44.477079455996815], [11.369966157696048, 44.47672865683736], [11.370063958147053, 44.476683062730814]], ""type"": ""LineString""}";760047.0
901;52950;VIA SARAGOZZA;13;Porto - Saragozza;VIA URBANA;VIA DEL RICCIO;37;14992;1991-10-21;34.0;;;;;1;;1;;44.490351790379556, 11.33751094319007;"{""coordinates"": [[11.337300445346973, 44.49036583017129], [11.337563172312727, 44.49034882820825], [11.337721342039057, 44.49033637056748]], ""type"": ""LineString""}";760309.0
902;12750;VIA CAPRAMOZZA;13;Porto - Saragozza;VIA ALTASETA;VIA DEI TESSITORI;6031;6029;1991-10-21;68.0;4;;18;;13;;15;;44.48937556950654, 11.33627423808235;"{""coordinates"": [[11.33667910144318, 44.48928178274684], [11.33661744554937, 44.48930366973207], [11.336562965010492, 44.48931722645956], [11.335866713919362, 44.48945945636363]], ""type"": ""LineString""}";758996.0
1455;6250;VIA DELLE BELLE ARTI;15;Santo Stefano;VIA CENTOTRECENTO;VIA XX OTTOBRE 1944;6279;13520;1991-10-21;126.0;20;;42;;21;;33;;44.49777856346253, 11.351186430209221;"{""coordinates"": [[11.350404774270018, 44.497699026375464], [11.350773241876295, 44.49775721190285], [11.350913160694523, 44.49777530645595], [11.351210690347184, 44.49779539413729], [11.351543021512342, 44.497806652815505], [11.35197212024539, 44.497802025819]], ""type"": ""LineString""}";759347.0
10161;15100;VIA DELLA CAVA;16;Savena;VICOLO CASE;VICOLO CASE;17300;15962;2007-02-26;42.0;12;;30;;;;;;44.45750568755669, 11.368140071330451;"{""coordinates"": [[11.368083666187655, 44.45731927953257], [11.368089174275354, 44.45735726440099], [11.36808857775598, 44.4573832313585], [11.368165949562158, 44.45758571591004], [11.368223319936417, 44.457683059515894]], ""type"": ""LineString""}";759288.0
3336;25550;VIA ANTONIO GANDUSIO;14;San Donato - San Vitale;VIA GIOVANNI ANTONIO SACCO;VIA LUIGI VESTRI;10492;10496;1991-10-21;70.0;4;;6;A;11;;21;;44.50443869457381, 11.356166366480968;"{""coordinates"": [[11.355749469557178, 44.50453472741517], [11.356517683866986, 44.50435606881592], [11.356584438086294, 44.504364026413505]], ""type"": ""LineString""}";758841.0
1080;3750;VIA MASSIMO D'AZEGLIO;13;Porto - Saragozza;VICOLO COLOMBINA;PIAZZA DE' CELESTINI;6071;129;1991-10-21;26.0;22;;24;C;;;;;44.49232678847456, 11.341920027388278;"{""coordinates"": [[11.341952661952956, 44.49244159978282], [11.341901578322826, 44.492260165343], [11.341885262101872, 44.49221264231837]], ""type"": ""LineString""}";759999.0
7315;59500;VIA FILIPPO TURATI;13;Porto - Saragozza;VIA FILIPPO TURATI;VIA FILIPPO TURATI;14776;14777;1997-06-24;51.0;88;;92;;;;;;44.49069078961145, 11.322060472169284;"{""coordinates"": [[11.321966095795124, 44.49047155617407], [11.322154848543441, 44.49091002304883]], ""type"": ""LineString""}";759555.0
7318;59500;VIA FILIPPO TURATI;13;Porto - Saragozza;VIA FILIPPO TURATI;VIA FILIPPO TURATI;14778;14779;1997-06-24;57.0;;;;;129;;153;;44.49015612883156, 11.320709594031735;"{""coordinates"": [[11.321067384941164, 44.490133303141555], [11.32084027477875, 44.49015990497966], [11.320754660162216, 44.490158503637005], [11.320585854397109, 44.49016194430621], [11.320350747995485, 44.49016071865819]], ""type"": ""LineString""}";759555.0
7319;29800;VIA ALESSANDRO GUIDOTTI;13;Porto - Saragozza;VIA GAETANO BOTTRIGARI;VIA ALESSANDRO GUIDOTTI;4676;14882;1997-06-24;12.0;;;;;;;;;44.49376469297451, 11.32518841291042;"{""coordinates"": [[11.325201674983656, 44.493818128771856], [11.325184378408046, 44.49376270104977], [11.325182284154776, 44.493710024554005]], ""type"": ""LineString""}";758759.0
7321;29800;VIA ALESSANDRO GUIDOTTI;13;Porto - Saragozza;VIA ALESSANDRO GUIDOTTI;VIA ALESSANDRO GUIDOTTI;14882;14883;1997-06-24;26.0;;;;;25;;25;;44.49359709064832, 11.3252132687727;"{""coordinates"": [[11.325182284154776, 44.493710024554005], [11.325244253390625, 44.493484156742646]], ""type"": ""LineString""}";758759.0
5903;50200;VIA RIGOSA;11;Borgo Panigale - Reno;VIA RIGOSA;VIA SAN SEBASTIANO;13678;8469;1997-05-06;667.0;4;;6;;5;;5;10;44.52296865674017, 11.24157055147837;"{""coordinates"": [[11.242347334643846, 44.525507367007144], [11.242288593467046, 44.525434636854584], [11.242171334095673, 44.5252953028164], [11.241957232740209, 44.52509938099046], [11.24168520643293, 44.52485225537208], [11.241111634743545, 44.52437397604265], [11.240942078976236, 44.52421719412658], [11.240774806468723, 44.52400803527389], [11.240698447431395, 44.52381248611697], [11.240695314221623, 44.52361856951535], [11.240735291175202, 44.52342689460829], [11.240830372213132, 44.523212576916166], [11.240993289874309, 44.52297229647924], [11.241840602040119, 44.521625306845294], [11.242195775012005, 44.521067977849334], [11.242457346959915, 44.52064113299714], [11.242511891450873, 44.52053348921888], [11.242548033217291, 44.520416511164484], [11.24256198982941, 44.52030967367495], [11.242563948255084, 44.52016496403641]], ""type"": ""LineString""}";760210.0
4646;30400;VIA IRNERIO;15;Santo Stefano;PIAZZALE CAMILLO BALDI;VIA ANTONIO ALESSANDRINI;15170;15168;1991-10-21;59.0;2;4;6;C;9;;11;D;44.50057500438973, 11.34693982368118;"{""coordinates"": [[11.34729049815616, 44.50048792581353], [11.346632423333679, 44.50065095245063], [11.346591024495826, 44.50066783706155]], ""type"": ""LineString""}";759838.0
9617;8100;VIA DELLA BEVERARA;12;Navile;VIA FRANCESCO ZANARDI;VIA DE' CARRACCI;8749;17100;2004-08-26;93.0;;;;;1;;3;;44.509908597812945, 11.32928312690073;"{""coordinates"": [[11.328991946286923, 44.50956515043094], [11.329178294411498, 44.50970629867308], [11.329523239929149, 44.510297327359204]], ""type"": ""LineString""}";759281.0
9621;90170;RAMPA TANG.USCITA CINQUE CASALECCHIO-S.LAZZ.;12;Navile;RAMPA TANG.USCITA CINQUE CASALECCHIO-S.LAZZ.;VIA CRISTOFORO COLOMBO;13449;17101;2004-08-26;502.0;;;;;;;;;44.52885631283119, 11.336426629291624;"{""coordinates"": [[11.338307480272539, 44.530281985742896], [11.337783982608212, 44.529067912564344], [11.337707350195924, 44.52887257839001], [11.337616304922243, 44.528747281983655], [11.337535595732186, 44.52866484199831], [11.337326365959685, 44.528523501192254], [11.337157568282025, 44.52846131976829], [11.3369268954011, 44.528429131927666], [11.336674459320761, 44.52842609821224], [11.335592763661491, 44.52847902387834], [11.33543273360547, 44.52849255192698], [11.335264594002714, 44.52851855212482], [11.335094104282422, 44.528556915623945], [11.334635323459318, 44.528699627123835], [11.33403198285536, 44.528892573971], [11.333875359559897, 44.52897502564426]], ""type"": ""LineString""}";
4511;50200;VIA RIGOSA;11;Borgo Panigale - Reno;VIA ANTONIO CAVALIERI DUCATI;VIA OLMETOLA;8425;8426;1991-10-21;802.0;10;;16;;;;;;44.515326584851316, 11.239746905381146;"{""coordinates"": [[11.241506195743577, 44.51843390233905], [11.241415185479482, 44.51835781712207], [11.241251024873911, 44.51823430208919], [11.240952530216202, 44.51803920676941], [11.240579726958936, 44.517820217918626], [11.240392534954632, 44.51768991561059], [11.240358408090152, 44.5176580050741], [11.240276975489696, 44.51757993946468], [11.240137094522906, 44.5173636160213], [11.239988454175872, 44.517116684500415], [11.239901709564721, 44.51696630620363], [11.239820687325851, 44.51676693162561], [11.23978070538498, 44.5166482160078], [11.239763727068151, 44.51660147469918], [11.239680499258032, 44.516146875486605], [11.239598803425492, 44.51559989778226], [11.239504769840273, 44.51499522147692], [11.239368062625575, 44.514069117145866], [11.239206236146085, 44.51302711998917], [11.239164011490514, 44.512744007096664], [11.239136273422286, 44.51259797128251], [11.23907460178928, 44.51238522577563], [11.239030228330929, 44.512287058795955], [11.238986625366486, 44.51220867334352], [11.238876169000148, 44.5120233160755], [11.238737486150962, 44.51182397308661], [11.23868743363346, 44.511753573241286]], ""type"": ""LineString""}";760210.0
4290;5910;VIA EMILIO BAUMANN;15;Santo Stefano;VIA LODOVICO VARTHEMA;VIA GIOVANNI MARCHETTI;5787;5780;1991-10-21;158.0;;;;;1;;1;H;44.47662653374467, 11.363365082437058;"{""coordinates"": [[11.364181154535185, 44.47622218576544], [11.363850085197779, 44.47638548018653], [11.363477784407372, 44.47657273701068], [11.362979969229684, 44.47681727265717], [11.362547918787211, 44.47702867486977]], ""type"": ""LineString""}";759483.0
8869;20550;PIAZZA DI PORTA SAN DONATO;15;Santo Stefano;VIALE QUIRICO FILOPANTI;MURA ANTEO ZAMBONI;6520;16753;2000-01-17;27.0;;;;;;;;;44.498128837660204, 11.356323494628924;"{""coordinates"": [[11.35615144365394, 44.498126240348135], [11.35649554560391, 44.49813143497228]], ""type"": ""LineString""}";759414.0
8877;22900;VIALE QUIRICO FILOPANTI;14;San Donato - San Vitale;PIAZZA DI PORTA SAN VITALE;VIALE QUIRICO FILOPANTI;16757;16756;2000-01-17;244.0;10;;24;;;;;;44.49541191332975, 11.357028820328477;"{""coordinates"": [[11.357157344409416, 44.4943172779264], [11.356900296247538, 44.496506548733095]], ""type"": ""LineString""}";760190.0
8881;62100;PIAZZA DI PORTA SAN VITALE;15;Santo Stefano;VIALE GIAMBATTISTA ERCOLANI;VIA TORLEONE;16759;6479;2000-01-18;27.0;;;;;3;;3;A;44.49387667432016, 11.356807616766599;"{""coordinates"": [[11.35697980178317, 44.49388041147372], [11.356635431750028, 44.493872937166614]], ""type"": ""LineString""}";759418.0
