CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
728;30800;VIA DEI LAMPONI;15;Santo Stefano;VIA DEGLI ORTI;VIA FRANCESCO CAVAZZA;5847;5882;1991-10-21;159.0;62;;64;;67;;93;;44.477343419839016, 11.372423386021987;"{""coordinates"": [[11.372875957146693, 44.47798244465362], [11.371970814897281, 44.47670439502441]], ""type"": ""LineString""}";759158.0
735;15300;VIA FRANCESCO CAVAZZA;15;Santo Stefano;VIA AUGUSTO ROMAGNOLI;VIA DEI LAMPONI;5847;5845;1991-10-21;127.0;2;;8;;1;;5;;44.47825435970405, 11.372171734754406;"{""coordinates"": [[11.372875957146693, 44.47798244465362], [11.371467512362118, 44.478526274754486]], ""type"": ""LineString""}";759574.0
585;34750;VIA BENEDETTO MARCELLO;16;Savena;VIA AMILCARE PONCHIELLI;VIA CARDINALE GIL ALVAREZ CARRILLO DE ALBORNOZ;5692;5693;1991-10-21;113.0;2;;2;4A;;;;;44.46613796481366, 11.376131343019535;"{""coordinates"": [[11.37600427759089, 44.465638560727356], [11.37625840844818, 44.46663736889997]], ""type"": ""LineString""}";758930.0
591;17830;VIA ALFONSO CORRADI;16;Savena;VIA GIUSEPPE ATTI;VIA ALFONSO CORRADI;5765;5766;1991-10-21;86.0;;;;;13;;17;;44.47237320269375, 11.363556988008538;"{""coordinates"": [[11.363332870338033, 44.47201944504188], [11.363544830695613, 44.472480446610604], [11.363586137453476, 44.47251606092763], [11.363633757512227, 44.472543622210864], [11.36371854104107, 44.47255930473568], [11.363806735363735, 44.472549547212196], [11.363898827139579, 44.47252702423341]], ""type"": ""LineString""}";758770.0
592;6150;VIA BELLACOSTA;15;Santo Stefano;VIA SERGIO TAVERNARI;VIA SANTA BARBARA;5776;5772;1992-01-10;126.0;44;;48;;41;;45;;44.47763214484516, 11.355908079045593;"{""coordinates"": [[11.356425304638892, 44.478053415302725], [11.355910383286215, 44.477639246504225], [11.355470419860042, 44.47727749930277], [11.355453040419144, 44.47725432510005], [11.355458180033043, 44.47717771490568]], ""type"": ""LineString""}";758921.0
596;57100;VIA SERGIO TAVERNARI;15;Santo Stefano;VIA GIOVANNI BATTISTA GANDINO;VIA BELLACOSTA;5769;5776;1991-10-21;113.0;2;;6;;1;;7;;44.478394322322686, 11.355896783454803;"{""coordinates"": [[11.355368262270712, 44.47873522934264], [11.356425304638892, 44.478053415302725]], ""type"": ""LineString""}";760327.0
599;12650;VIA GIOVANNI CAPELLINI;15;Santo Stefano;VIA GIOVANNI BATTISTA GANDINO;VIA BELLACOSTA;5771;5775;1991-10-21;112.0;4;;4;;1;;11;;44.47930472498784, 11.357030849135203;"{""coordinates"": [[11.356499276292505, 44.47963234036811], [11.357562421977901, 44.47897710960758]], ""type"": ""LineString""}";759706.0
603;34900;VIA GIOVANNI MARCHETTI;15;Santo Stefano;VIA ADELAIDE BORGHI MAMO;VIA RUGGERO LEONCAVALLO;5777;5785;1991-10-21;49.0;;;;;;;;;44.47638710584958, 11.361867846492999;"{""coordinates"": [[11.362050844602411, 44.47656251644831], [11.361684848383586, 44.47621169525086]], ""type"": ""LineString""}";759725.0
606;5250;VIA ANTONIO BASOLI;15;Santo Stefano;VIA BALDASSARRE CARRATI;VIA ANTONIO BASOLI;5795;5796;1991-10-21;67.0;10;;18;;3;;5;;44.47814134390867, 11.358951693303686;"{""coordinates"": [[11.35859561411038, 44.47830057544363], [11.358663706491058, 44.478266038946046], [11.359309531905172, 44.477985855786734]], ""type"": ""LineString""}";758829.0
607;9400;VIA ADELAIDE BORGHI MAMO;15;Santo Stefano;VIA ANTONIO BASOLI;VIA ALESSANDRO BONCI;5790;5793;1991-10-21;97.0;2;;8;C;1;;3;;44.4773702737258, 11.360505137505053;"{""coordinates"": [[11.360008013461181, 44.4776212432545], [11.360462410427536, 44.477393363959436], [11.36100113266045, 44.47711707830801]], ""type"": ""LineString""}";758713.0
609;54650;VIA SIEPELUNGA;15;Santo Stefano;VIA VINCENZO MARTINELLI;VIA ADELAIDE BORGHI MAMO;5797;5790;1991-10-21;91.0;28;;28;;43;;47;;44.47797965041854, 11.360288464516744;"{""coordinates"": [[11.360573857496819, 44.47833356005518], [11.360536085041353, 44.478271223887745], [11.36042138824823, 44.47813728717221], [11.360266394464789, 44.47796630957885], [11.360169923561067, 44.47784714714277], [11.360094889610316, 44.47773510360984], [11.360008013461181, 44.4776212432545]], ""type"": ""LineString""}";760331.0
610;5250;VIA ANTONIO BASOLI;15;Santo Stefano;VIA ADELAIDE BORGHI MAMO;VIA BALDASSARRE CARRATI;5796;5790;1991-10-21;70.0;4;;8;;1;;1;4;44.47782804698962, 11.35967811850219;"{""coordinates"": [[11.359309531905172, 44.477985855786734], [11.359756599527882, 44.47780339588865], [11.359932076846977, 44.47772282307242], [11.359955523644034, 44.47770215450859], [11.359977963934996, 44.47767648329475], [11.360008013461181, 44.4776212432545]], ""type"": ""LineString""}";758829.0
155;5800;VIA BATTINDARNO;11;Borgo Panigale - Reno;VIA GIANGUIDO BORGHESE;VIA DELLA BARCA;13552;16127;1992-01-10;71.0;376;;376;M;195;;231;;44.49543912557729, 11.29431353464409;"{""coordinates"": [[11.29417206063868, 44.49513649757456], [11.294455008649498, 44.49574175358002]], ""type"": ""LineString""}";758917.0
156;29500;VIA LINO GUCCI;11;Borgo Panigale - Reno;VIA GIACOMO PALLOTTI;VIA GIUSEPPE TELLERA;4521;4503;1991-10-21;22.0;;;;;3;;3;;44.498403398244776, 11.294351841048904;"{""coordinates"": [[11.294484798791762, 44.498369027909256], [11.294218883306048, 44.49843776858029]], ""type"": ""LineString""}";759885.0
486;6350;VIA VINCENZO BELLINI;16;Savena;VIA GIACOMO FILIPPO NOVARO;VIA VINCENZO BELLINI;5678;5683;1991-10-21;47.0;;;;;;;;;44.46284842934166, 11.368483204167319;"{""coordinates"": [[11.368774362363737, 44.462821398745035], [11.368192045970899, 44.462875459938296]], ""type"": ""LineString""}";760425.0
570;58170;VIA GIUSEPPE TORELLI;16;Savena;VIA GHERARDO GHIRARDINI;VIA GIUSEPPE TORELLI;5743;5748;1992-01-10;94.0;4;;8;;;;;;44.46695432635687, 11.372500004048627;"{""coordinates"": [[11.373076510141368, 44.46685466890558], [11.372967283602295, 44.46688123756569], [11.371921854380671, 44.46704576412201]], ""type"": ""LineString""}";759802.0
