CODICE;Geo Point;Geo Shape
17294;44.49971742821927, 11.35936855274947;"{""coordinates"": [11.35936855274947, 44.49971742821927], ""type"": ""Point""}"
17302;44.508273901156386, 11.364877337214907;"{""coordinates"": [11.364877337214907, 44.508273901156386], ""type"": ""Point""}"
17312;44.51038720501869, 11.28579491311659;"{""coordinates"": [11.28579491311659, 44.51038720501869], ""type"": ""Point""}"
17317;44.49938190042942, 11.39487140943916;"{""coordinates"": [11.39487140943916, 44.49938190042942], ""type"": ""Point""}"
17319;44.499269079912985, 11.39496839856179;"{""coordinates"": [11.39496839856179, 44.499269079912985], ""type"": ""Point""}"
13845;44.4978766246897, 11.39381260088532;"{""coordinates"": [11.39381260088532, 44.4978766246897], ""type"": ""Point""}"
4550;44.48823308984968, 11.327449497202524;"{""coordinates"": [11.327449497202524, 44.48823308984968], ""type"": ""Point""}"
4554;44.48518808093061, 11.324314448636816;"{""coordinates"": [11.324314448636816, 44.48518808093061], ""type"": ""Point""}"
16164;44.491212312477074, 11.302886757668404;"{""coordinates"": [11.302886757668404, 44.491212312477074], ""type"": ""Point""}"
16160;44.49132662284559, 11.304079990445743;"{""coordinates"": [11.304079990445743, 44.49132662284559], ""type"": ""Point""}"
16153;44.49134341442773, 11.305613752960973;"{""coordinates"": [11.305613752960973, 44.49134341442773], ""type"": ""Point""}"
4574;44.492920323041865, 11.303692884143459;"{""coordinates"": [11.303692884143459, 44.492920323041865], ""type"": ""Point""}"
4577;44.49299066612855, 11.304396447831841;"{""coordinates"": [11.304396447831841, 44.49299066612855], ""type"": ""Point""}"
4586;44.49207650962065, 11.305690167292418;"{""coordinates"": [11.305690167292418, 44.49207650962065], ""type"": ""Point""}"
4591;44.49192683254895, 11.307161918482104;"{""coordinates"": [11.307161918482104, 44.49192683254895], ""type"": ""Point""}"
4575;44.49253342129381, 11.305748401188108;"{""coordinates"": [11.305748401188108, 44.49253342129381], ""type"": ""Point""}"
4582;44.4902794699474, 11.303236738935539;"{""coordinates"": [11.303236738935539, 44.4902794699474], ""type"": ""Point""}"
16163;44.49095678966508, 11.30704276103265;"{""coordinates"": [11.30704276103265, 44.49095678966508], ""type"": ""Point""}"
16166;44.490133081120995, 11.310858012451758;"{""coordinates"": [11.310858012451758, 44.490133081120995], ""type"": ""Point""}"
4676;44.493818128771856, 11.325201674983656;"{""coordinates"": [11.325201674983656, 44.493818128771856], ""type"": ""Point""}"
15766;44.49667204952569, 11.324450531717186;"{""coordinates"": [11.324450531717186, 44.49667204952569], ""type"": ""Point""}"
5504;44.44661381765985, 11.335659879643348;"{""coordinates"": [11.335659879643348, 44.44661381765985], ""type"": ""Point""}"
5499;44.45604322274946, 11.349681203079992;"{""coordinates"": [11.349681203079992, 44.45604322274946], ""type"": ""Point""}"
16924;44.48195349359062, 11.39024112879967;"{""coordinates"": [11.39024112879967, 44.48195349359062], ""type"": ""Point""}"
16925;44.481276527445495, 11.391988962577276;"{""coordinates"": [11.391988962577276, 44.481276527445495], ""type"": ""Point""}"
8508;44.527982277086444, 11.256753575711064;"{""coordinates"": [11.256753575711064, 44.527982277086444], ""type"": ""Point""}"
16929;44.496610484635085, 11.41046533107348;"{""coordinates"": [11.41046533107348, 44.496610484635085], ""type"": ""Point""}"
16936;44.5077387629979, 11.311209874274368;"{""coordinates"": [11.311209874274368, 44.5077387629979], ""type"": ""Point""}"
16937;44.507590773010584, 11.310781472218425;"{""coordinates"": [11.310781472218425, 44.507590773010584], ""type"": ""Point""}"
16940;44.5132964332162, 11.31784971347701;"{""coordinates"": [11.31784971347701, 44.5132964332162], ""type"": ""Point""}"
17778;44.52538822251592, 11.32720375703592;"{""coordinates"": [11.32720375703592, 44.52538822251592], ""type"": ""Point""}"
17925;44.49291823407065, 11.303692902481313;"{""coordinates"": [11.303692902481313, 44.49291823407065], ""type"": ""Point""}"
18059;44.513283832386506, 11.285896217954305;"{""coordinates"": [11.285896217954305, 44.513283832386506], ""type"": ""Point""}"
17815;44.50378127796584, 11.36735907631233;"{""coordinates"": [11.36735907631233, 44.50378127796584], ""type"": ""Point""}"
17816;44.50397520570857, 11.367837671308475;"{""coordinates"": [11.367837671308475, 44.50397520570857], ""type"": ""Point""}"
17901;44.454192174975596, 11.3717048032661;"{""coordinates"": [11.3717048032661, 44.454192174975596], ""type"": ""Point""}"
17807;44.512121812871676, 11.330584464063245;"{""coordinates"": [11.330584464063245, 44.512121812871676], ""type"": ""Point""}"
17919;44.52751119207637, 11.330500149956206;"{""coordinates"": [11.330500149956206, 44.52751119207637], ""type"": ""Point""}"
17922;44.53182044322057, 11.316801670772625;"{""coordinates"": [11.316801670772625, 44.53182044322057], ""type"": ""Point""}"
17638;44.49974315903628, 11.274260046267242;"{""coordinates"": [11.274260046267242, 44.49974315903628], ""type"": ""Point""}"
17743;44.52513109637372, 11.24383865607945;"{""coordinates"": [11.24383865607945, 44.52513109637372], ""type"": ""Point""}"
17679;44.50538547246528, 11.336217801982919;"{""coordinates"": [11.336217801982919, 44.50538547246528], ""type"": ""Point""}"
17647;44.46588638234038, 11.374531623965316;"{""coordinates"": [11.374531623965316, 44.46588638234038], ""type"": ""Point""}"
17661;44.50181105838741, 11.35788713195652;"{""coordinates"": [11.35788713195652, 44.50181105838741], ""type"": ""Point""}"
17740;44.51343731003668, 11.339642151811578;"{""coordinates"": [11.339642151811578, 44.51343731003668], ""type"": ""Point""}"
17696;44.530790026805754, 11.331822582573746;"{""coordinates"": [11.331822582573746, 44.530790026805754], ""type"": ""Point""}"
17668;44.49636312493717, 11.373666583450351;"{""coordinates"": [11.373666583450351, 44.49636312493717], ""type"": ""Point""}"
17893;44.46115347510262, 11.360173671235723;"{""coordinates"": [11.360173671235723, 44.46115347510262], ""type"": ""Point""}"
17852;44.50850146042413, 11.357988724666843;"{""coordinates"": [11.357988724666843, 44.50850146042413], ""type"": ""Point""}"
17872;44.4851817600081, 11.37027031069106;"{""coordinates"": [11.37027031069106, 44.4851817600081], ""type"": ""Point""}"
5969;44.4859019847977, 11.344441487801996;"{""coordinates"": [11.344441487801996, 44.4859019847977], ""type"": ""Point""}"
5971;44.48660995410742, 11.3403535698764;"{""coordinates"": [11.3403535698764, 44.48660995410742], ""type"": ""Point""}"
5973;44.48686667534443, 11.340415326411296;"{""coordinates"": [11.340415326411296, 44.48686667534443], ""type"": ""Point""}"
5980;44.48828689670589, 11.340688913015963;"{""coordinates"": [11.340688913015963, 44.48828689670589], ""type"": ""Point""}"
16778;44.48700746138967, 11.34478147802249;"{""coordinates"": [11.34478147802249, 44.48700746138967], ""type"": ""Point""}"
5992;44.488336140629734, 11.343595836915119;"{""coordinates"": [11.343595836915119, 44.488336140629734], ""type"": ""Point""}"
5987;44.48765252953923, 11.343272595744363;"{""coordinates"": [11.343272595744363, 44.48765252953923], ""type"": ""Point""}"
5989;44.48748130932898, 11.344007952093776;"{""coordinates"": [11.344007952093776, 44.48748130932898], ""type"": ""Point""}"
5985;44.48807759845025, 11.344013975177512;"{""coordinates"": [11.344013975177512, 44.48807759845025], ""type"": ""Point""}"
6009;44.48604348211444, 11.348268482031344;"{""coordinates"": [11.348268482031344, 44.48604348211444], ""type"": ""Point""}"
158;44.49526312478799, 11.340355389847408;"{""coordinates"": [11.340355389847408, 44.49526312478799], ""type"": ""Point""}"
161;44.495737536741224, 11.340784665152562;"{""coordinates"": [11.340784665152562, 44.495737536741224], ""type"": ""Point""}"
162;44.49576226780031, 11.340230933579388;"{""coordinates"": [11.340230933579388, 44.49576226780031], ""type"": ""Point""}"
13533;44.494000119344044, 11.34268883409322;"{""coordinates"": [11.34268883409322, 44.494000119344044], ""type"": ""Point""}"
5774;44.47926257641744, 11.354527256621708;"{""coordinates"": [11.354527256621708, 44.47926257641744], ""type"": ""Point""}"
5666;44.47790589869344, 11.353050370115037;"{""coordinates"": [11.353050370115037, 44.47790589869344], ""type"": ""Point""}"
4389;44.48923319455094, 11.29617027843454;"{""coordinates"": [11.29617027843454, 44.48923319455094], ""type"": ""Point""}"
4387;44.489638896493496, 11.295265109979109;"{""coordinates"": [11.295265109979109, 44.489638896493496], ""type"": ""Point""}"
4382;44.488359467993234, 11.29666824763003;"{""coordinates"": [11.29666824763003, 44.488359467993234], ""type"": ""Point""}"
4396;44.48737792933093, 11.298816639412564;"{""coordinates"": [11.298816639412564, 44.48737792933093], ""type"": ""Point""}"
4394;44.48718332984323, 11.298407062622108;"{""coordinates"": [11.298407062622108, 44.48718332984323], ""type"": ""Point""}"
4404;44.49347205702049, 11.281427301969574;"{""coordinates"": [11.281427301969574, 44.49347205702049], ""type"": ""Point""}"
4412;44.49169634116759, 11.285154090872739;"{""coordinates"": [11.285154090872739, 44.49169634116759], ""type"": ""Point""}"
4423;44.492938033585446, 11.28363435757171;"{""coordinates"": [11.28363435757171, 44.492938033585446], ""type"": ""Point""}"
4429;44.49292476600979, 11.28562117254856;"{""coordinates"": [11.28562117254856, 44.49292476600979], ""type"": ""Point""}"
4408;44.49354901147253, 11.287522077186694;"{""coordinates"": [11.287522077186694, 44.49354901147253], ""type"": ""Point""}"
15481;44.49179866294035, 11.281695358531481;"{""coordinates"": [11.281695358531481, 44.49179866294035], ""type"": ""Point""}"
4416;44.489627262038105, 11.283532844828217;"{""coordinates"": [11.283532844828217, 44.489627262038105], ""type"": ""Point""}"
4437;44.495070826063255, 11.282808530990991;"{""coordinates"": [11.282808530990991, 44.495070826063255], ""type"": ""Point""}"
17689;44.4770712527962, 11.307996482562414;"{""coordinates"": [11.307996482562414, 44.4770712527962], ""type"": ""Point""}"
18004;44.515421700895274, 11.320771631853082;"{""coordinates"": [11.320771631853082, 44.515421700895274], ""type"": ""Point""}"
18005;44.51425079376047, 11.32272486862913;"{""coordinates"": [11.32272486862913, 44.51425079376047], ""type"": ""Point""}"
18015;44.51188530364193, 11.340387909733131;"{""coordinates"": [11.340387909733131, 44.51188530364193], ""type"": ""Point""}"
17799;44.51218071679842, 11.330279298255382;"{""coordinates"": [11.330279298255382, 44.51218071679842], ""type"": ""Point""}"
17800;44.511803645391055, 11.329254563365627;"{""coordinates"": [11.329254563365627, 44.511803645391055], ""type"": ""Point""}"
17874;44.452854039360545, 11.369673519042154;"{""coordinates"": [11.369673519042154, 44.452854039360545], ""type"": ""Point""}"
17875;44.449886098817174, 11.364691089287964;"{""coordinates"": [11.364691089287964, 44.449886098817174], ""type"": ""Point""}"
17883;44.50160823950398, 11.354744789713175;"{""coordinates"": [11.354744789713175, 44.50160823950398], ""type"": ""Point""}"
18041;44.46817567958827, 11.392579049402757;"{""coordinates"": [11.392579049402757, 44.46817567958827], ""type"": ""Point""}"
18077;44.498756199034766, 11.332627837333202;"{""coordinates"": [11.332627837333202, 44.498756199034766], ""type"": ""Point""}"
17855;44.50747484307476, 11.358781392120376;"{""coordinates"": [11.358781392120376, 44.50747484307476], ""type"": ""Point""}"
18040;44.467854263366256, 11.392417777868685;"{""coordinates"": [11.392417777868685, 44.467854263366256], ""type"": ""Point""}"
18011;44.51034050392808, 11.340866723036044;"{""coordinates"": [11.340866723036044, 44.51034050392808], ""type"": ""Point""}"
18012;44.511111956884065, 11.340378671225796;"{""coordinates"": [11.340378671225796, 44.511111956884065], ""type"": ""Point""}"
18033;44.47584723273064, 11.396037692656458;"{""coordinates"": [11.396037692656458, 44.47584723273064], ""type"": ""Point""}"
17768;44.5037498638532, 11.36815006611219;"{""coordinates"": [11.36815006611219, 44.5037498638532], ""type"": ""Point""}"
17772;44.50952949075687, 11.337639908528311;"{""coordinates"": [11.337639908528311, 44.50952949075687], ""type"": ""Point""}"
16938;44.50810455835844, 11.311002957380927;"{""coordinates"": [11.311002957380927, 44.50810455835844], ""type"": ""Point""}"
16942;44.46002112770129, 11.374870975798618;"{""coordinates"": [11.374870975798618, 44.46002112770129], ""type"": ""Point""}"
17191;44.49056416216398, 11.268439447080805;"{""coordinates"": [11.268439447080805, 44.49056416216398], ""type"": ""Point""}"
17192;44.48903048605025, 11.280870712645852;"{""coordinates"": [11.280870712645852, 44.48903048605025], ""type"": ""Point""}"
17196;44.50222448245816, 11.381048554790675;"{""coordinates"": [11.381048554790675, 44.50222448245816], ""type"": ""Point""}"
17201;44.522658940184854, 11.295837928393238;"{""coordinates"": [11.295837928393238, 44.522658940184854], ""type"": ""Point""}"
17202;44.51215504757675, 11.371237613972587;"{""coordinates"": [11.371237613972587, 44.51215504757675], ""type"": ""Point""}"
17203;44.51348344541649, 11.372846719085093;"{""coordinates"": [11.372846719085093, 44.51348344541649], ""type"": ""Point""}"
17205;44.513275294524114, 11.373056458657418;"{""coordinates"": [11.373056458657418, 44.513275294524114], ""type"": ""Point""}"
17206;44.51463671108631, 11.371593353230693;"{""coordinates"": [11.371593353230693, 44.51463671108631], ""type"": ""Point""}"
17219;44.51764800477791, 11.364120596993033;"{""coordinates"": [11.364120596993033, 44.51764800477791], ""type"": ""Point""}"
17217;44.516783572106945, 11.363841879175334;"{""coordinates"": [11.363841879175334, 44.516783572106945], ""type"": ""Point""}"
17222;44.52145629362868, 11.366787023007499;"{""coordinates"": [11.366787023007499, 44.52145629362868], ""type"": ""Point""}"
17224;44.52177796226309, 11.367364497251128;"{""coordinates"": [11.367364497251128, 44.52177796226309], ""type"": ""Point""}"
17845;44.454105544684786, 11.366714610059196;"{""coordinates"": [11.366714610059196, 44.454105544684786], ""type"": ""Point""}"
17847;44.45308250175429, 11.370126990133008;"{""coordinates"": [11.370126990133008, 44.45308250175429], ""type"": ""Point""}"
17848;44.45956564752912, 11.374636485319332;"{""coordinates"": [11.374636485319332, 44.45956564752912], ""type"": ""Point""}"
17911;44.488454356300224, 11.396332820497845;"{""coordinates"": [11.396332820497845, 44.488454356300224], ""type"": ""Point""}"
17986;44.528277879899235, 11.361430366944749;"{""coordinates"": [11.361430366944749, 44.528277879899235], ""type"": ""Point""}"
18042;44.46810442920979, 11.392689611113832;"{""coordinates"": [11.392689611113832, 44.46810442920979], ""type"": ""Point""}"
18045;44.516271882430054, 11.272852620899952;"{""coordinates"": [11.272852620899952, 44.516271882430054], ""type"": ""Point""}"
18046;44.51549247872745, 11.272765236553187;"{""coordinates"": [11.272765236553187, 44.51549247872745], ""type"": ""Point""}"
17896;44.52854689804248, 11.32413234326846;"{""coordinates"": [11.32413234326846, 44.52854689804248], ""type"": ""Point""}"
17898;44.52853216919029, 11.320264572557578;"{""coordinates"": [11.320264572557578, 44.52853216919029], ""type"": ""Point""}"
17987;44.517957700975956, 11.280248415207774;"{""coordinates"": [11.280248415207774, 44.517957700975956], ""type"": ""Point""}"
18034;44.496980600810204, 11.317331815100582;"{""coordinates"": [11.317331815100582, 44.496980600810204], ""type"": ""Point""}"
18035;44.496591272846, 11.317350549332037;"{""coordinates"": [11.317350549332037, 44.496591272846], ""type"": ""Point""}"
17753;44.51403822266783, 11.40851616481225;"{""coordinates"": [11.40851616481225, 44.51403822266783], ""type"": ""Point""}"
17754;44.495976896122244, 11.288909738055228;"{""coordinates"": [11.288909738055228, 44.495976896122244], ""type"": ""Point""}"
17755;44.496179825311636, 11.288997198425857;"{""coordinates"": [11.288997198425857, 44.496179825311636], ""type"": ""Point""}"
18000;44.42893719774863, 11.319241644838197;"{""coordinates"": [11.319241644838197, 44.42893719774863], ""type"": ""Point""}"
18001;44.429953213660546, 11.318501876505113;"{""coordinates"": [11.318501876505113, 44.429953213660546], ""type"": ""Point""}"
18026;44.50017018814316, 11.338359667256853;"{""coordinates"": [11.338359667256853, 44.50017018814316], ""type"": ""Point""}"
17967;44.50516556014014, 11.37196240771332;"{""coordinates"": [11.37196240771332, 44.50516556014014], ""type"": ""Point""}"
17992;44.53803811985102, 11.356793709415701;"{""coordinates"": [11.356793709415701, 44.53803811985102], ""type"": ""Point""}"
17890;44.476069367825744, 11.356950731379833;"{""coordinates"": [11.356950731379833, 44.476069367825744], ""type"": ""Point""}"
17990;44.53811875383793, 11.356473717347486;"{""coordinates"": [11.356473717347486, 44.53811875383793], ""type"": ""Point""}"
17991;44.53790051972831, 11.357339828965552;"{""coordinates"": [11.357339828965552, 44.53790051972831], ""type"": ""Point""}"
18036;44.47059862659408, 11.390859802117259;"{""coordinates"": [11.390859802117259, 44.47059862659408], ""type"": ""Point""}"
17318;44.499226481590114, 11.394758477937867;"{""coordinates"": [11.394758477937867, 44.499226481590114], ""type"": ""Point""}"
17321;44.49830356422155, 11.394123319232053;"{""coordinates"": [11.394123319232053, 44.49830356422155], ""type"": ""Point""}"
17324;44.492053644002425, 11.413441688736349;"{""coordinates"": [11.413441688736349, 44.492053644002425], ""type"": ""Point""}"
17707;44.48061417664661, 11.372439712470998;"{""coordinates"": [11.372439712470998, 44.48061417664661], ""type"": ""Point""}"
17658;44.51813818063515, 11.280108428939828;"{""coordinates"": [11.280108428939828, 44.51813818063515], ""type"": ""Point""}"
17670;44.4964187425488, 11.392927477411831;"{""coordinates"": [11.392927477411831, 44.4964187425488], ""type"": ""Point""}"
17701;44.49522727685976, 11.347534377148625;"{""coordinates"": [11.347534377148625, 44.49522727685976], ""type"": ""Point""}"
17723;44.536680924965516, 11.352753915573137;"{""coordinates"": [11.352753915573137, 44.536680924965516], ""type"": ""Point""}"
17710;44.480209184421966, 11.37255802722637;"{""coordinates"": [11.37255802722637, 44.480209184421966], ""type"": ""Point""}"
17737;44.49605355322799, 11.352036809268236;"{""coordinates"": [11.352036809268236, 44.49605355322799], ""type"": ""Point""}"
14746;44.494902716624125, 11.317066914218929;"{""coordinates"": [11.317066914218929, 44.494902716624125], ""type"": ""Point""}"
14748;44.49350380166043, 11.307575978277978;"{""coordinates"": [11.307575978277978, 44.49350380166043], ""type"": ""Point""}"
14750;44.49341764144571, 11.30693706980354;"{""coordinates"": [11.30693706980354, 44.49341764144571], ""type"": ""Point""}"
14755;44.49234090398559, 11.304119040847619;"{""coordinates"": [11.304119040847619, 44.49234090398559], ""type"": ""Point""}"
13176;44.49622545932669, 11.318639055285445;"{""coordinates"": [11.318639055285445, 44.49622545932669], ""type"": ""Point""}"
14764;44.49673180102207, 11.323665569618582;"{""coordinates"": [11.323665569618582, 44.49673180102207], ""type"": ""Point""}"
14765;44.49676867023121, 11.322981541717624;"{""coordinates"": [11.322981541717624, 44.49676867023121], ""type"": ""Point""}"
14771;44.494404474023256, 11.32356058403883;"{""coordinates"": [11.32356058403883, 44.494404474023256], ""type"": ""Point""}"
14772;44.49420365484619, 11.324325545045681;"{""coordinates"": [11.324325545045681, 44.49420365484619], ""type"": ""Point""}"
14774;44.49041707107956, 11.322174618017556;"{""coordinates"": [11.322174618017556, 44.49041707107956], ""type"": ""Point""}"
16950;44.50804085039204, 11.310598982026427;"{""coordinates"": [11.310598982026427, 44.50804085039204], ""type"": ""Point""}"
16302;44.48269613346705, 11.338972788436422;"{""coordinates"": [11.338972788436422, 44.48269613346705], ""type"": ""Point""}"
16305;44.482446063387435, 11.338919420171745;"{""coordinates"": [11.338919420171745, 44.482446063387435], ""type"": ""Point""}"
16307;44.47997790608644, 11.337803736195799;"{""coordinates"": [11.337803736195799, 44.47997790608644], ""type"": ""Point""}"
16309;44.480853762647484, 11.346118297485052;"{""coordinates"": [11.346118297485052, 44.480853762647484], ""type"": ""Point""}"
16312;44.48019953731881, 11.34740082056865;"{""coordinates"": [11.34740082056865, 44.48019953731881], ""type"": ""Point""}"
16316;44.476559121881664, 11.346793319228198;"{""coordinates"": [11.346793319228198, 44.476559121881664], ""type"": ""Point""}"
16321;44.48866693627144, 11.360994487387426;"{""coordinates"": [11.360994487387426, 44.48866693627144], ""type"": ""Point""}"
16322;44.489346415047265, 11.361431491641001;"{""coordinates"": [11.361431491641001, 44.489346415047265], ""type"": ""Point""}"
16323;44.487636039840936, 11.363725143739241;"{""coordinates"": [11.363725143739241, 44.487636039840936], ""type"": ""Point""}"
16325;44.48420801382932, 11.372796158946239;"{""coordinates"": [11.372796158946239, 44.48420801382932], ""type"": ""Point""}"
16328;44.487533044668375, 11.359365442645426;"{""coordinates"": [11.359365442645426, 44.487533044668375], ""type"": ""Point""}"
17229;44.52121166992108, 11.37338788547765;"{""coordinates"": [11.37338788547765, 44.52121166992108], ""type"": ""Point""}"
17230;44.526278110612594, 11.331232627595696;"{""coordinates"": [11.331232627595696, 44.526278110612594], ""type"": ""Point""}"
17231;44.52634278539454, 11.331599339684493;"{""coordinates"": [11.331599339684493, 44.52634278539454], ""type"": ""Point""}"
17237;44.48628784266559, 11.374915461313801;"{""coordinates"": [11.374915461313801, 44.48628784266559], ""type"": ""Point""}"
17238;44.48639098121966, 11.375183929767978;"{""coordinates"": [11.375183929767978, 44.48639098121966], ""type"": ""Point""}"
17246;44.496400748676656, 11.372746307122199;"{""coordinates"": [11.372746307122199, 44.496400748676656], ""type"": ""Point""}"
17249;44.49429812626622, 11.37476710760348;"{""coordinates"": [11.37476710760348, 44.49429812626622], ""type"": ""Point""}"
17251;44.49352168861988, 11.287665837170538;"{""coordinates"": [11.287665837170538, 44.49352168861988], ""type"": ""Point""}"
17254;44.49576428790029, 11.373962433492775;"{""coordinates"": [11.373962433492775, 44.49576428790029], ""type"": ""Point""}"
17256;44.518023815095965, 11.37123922580545;"{""coordinates"": [11.37123922580545, 44.518023815095965], ""type"": ""Point""}"
17259;44.51905003837261, 11.3739906684596;"{""coordinates"": [11.3739906684596, 44.51905003837261], ""type"": ""Point""}"
17268;44.525645700206134, 11.297612893004779;"{""coordinates"": [11.297612893004779, 44.525645700206134], ""type"": ""Point""}"
17269;44.52546321519555, 11.296661493178211;"{""coordinates"": [11.296661493178211, 44.52546321519555], ""type"": ""Point""}"
17009;44.50363613386462, 11.353100550348666;"{""coordinates"": [11.353100550348666, 44.50363613386462], ""type"": ""Point""}"
17011;44.48843943560924, 11.391456336298235;"{""coordinates"": [11.391456336298235, 44.48843943560924], ""type"": ""Point""}"
17013;44.49768323719827, 11.330827775783186;"{""coordinates"": [11.330827775783186, 44.49768323719827], ""type"": ""Point""}"
17972;44.45296954727848, 11.36535594566808;"{""coordinates"": [11.36535594566808, 44.45296954727848], ""type"": ""Point""}"
18057;44.4834484657568, 11.37586744313126;"{""coordinates"": [11.37586744313126, 44.4834484657568], ""type"": ""Point""}"
18058;44.483406579341086, 11.376215055953253;"{""coordinates"": [11.376215055953253, 44.483406579341086], ""type"": ""Point""}"
17825;44.51348310169698, 11.339375290580017;"{""coordinates"": [11.339375290580017, 44.51348310169698], ""type"": ""Point""}"
17923;44.53192079668576, 11.31631979463183;"{""coordinates"": [11.31631979463183, 44.53192079668576], ""type"": ""Point""}"
18051;44.53216281315306, 11.367315920099985;"{""coordinates"": [11.367315920099985, 44.53216281315306], ""type"": ""Point""}"
17810;44.50396021102865, 11.367716840536232;"{""coordinates"": [11.367716840536232, 44.50396021102865], ""type"": ""Point""}"
17927;44.474765893444015, 11.37999319577381;"{""coordinates"": [11.37999319577381, 44.474765893444015], ""type"": ""Point""}"
18018;44.51367188490881, 11.337613089650906;"{""coordinates"": [11.337613089650906, 44.51367188490881], ""type"": ""Point""}"
17873;44.48583145427318, 11.370678496225661;"{""coordinates"": [11.370678496225661, 44.48583145427318], ""type"": ""Point""}"
17998;44.48681843104004, 11.338642402440074;"{""coordinates"": [11.338642402440074, 44.48681843104004], ""type"": ""Point""}"
18007;44.50138588053153, 11.374427865065167;"{""coordinates"": [11.374427865065167, 44.50138588053153], ""type"": ""Point""}"
16410;44.48957792760323, 11.41244372131179;"{""coordinates"": [11.41244372131179, 44.48957792760323], ""type"": ""Point""}"
17474;44.49175390217585, 11.396525369099656;"{""coordinates"": [11.396525369099656, 44.49175390217585], ""type"": ""Point""}"
17475;44.49846861058563, 11.359916784611684;"{""coordinates"": [11.359916784611684, 44.49846861058563], ""type"": ""Point""}"
17478;44.505010884258006, 11.343598026203015;"{""coordinates"": [11.343598026203015, 44.505010884258006], ""type"": ""Point""}"
17486;44.495866205966614, 11.361089311582305;"{""coordinates"": [11.361089311582305, 44.495866205966614], ""type"": ""Point""}"
10747;44.53272608884198, 11.351464487437777;"{""coordinates"": [11.351464487437777, 44.53272608884198], ""type"": ""Point""}"
17489;44.531887757707494, 11.350296328232671;"{""coordinates"": [11.350296328232671, 44.531887757707494], ""type"": ""Point""}"
17493;44.485989780827936, 11.401375027046246;"{""coordinates"": [11.401375027046246, 44.485989780827936], ""type"": ""Point""}"
14892;44.493987743933765, 11.325258816431075;"{""coordinates"": [11.325258816431075, 44.493987743933765], ""type"": ""Point""}"
14897;44.50461403453065, 11.333109170060881;"{""coordinates"": [11.333109170060881, 44.50461403453065], ""type"": ""Point""}"
14898;44.50490306824232, 11.33319828466213;"{""coordinates"": [11.33319828466213, 44.50490306824232], ""type"": ""Point""}"
14899;44.50576346885208, 11.333047747806749;"{""coordinates"": [11.333047747806749, 44.50576346885208], ""type"": ""Point""}"
14903;44.506159632081506, 11.332660277802534;"{""coordinates"": [11.332660277802534, 44.506159632081506], ""type"": ""Point""}"
14919;44.50504652846791, 11.355588251157398;"{""coordinates"": [11.355588251157398, 44.50504652846791], ""type"": ""Point""}"
14921;44.50516019901652, 11.354371425195117;"{""coordinates"": [11.354371425195117, 44.50516019901652], ""type"": ""Point""}"
14927;44.50638937605947, 11.356202554856697;"{""coordinates"": [11.356202554856697, 44.50638937605947], ""type"": ""Point""}"
14928;44.50659334048217, 11.356298396877275;"{""coordinates"": [11.356298396877275, 44.50659334048217], ""type"": ""Point""}"
14930;44.49807373735792, 11.35747918759273;"{""coordinates"": [11.35747918759273, 44.49807373735792], ""type"": ""Point""}"
14931;44.49690919088368, 11.357580749059156;"{""coordinates"": [11.357580749059156, 44.49690919088368], ""type"": ""Point""}"
16340;44.476825043914474, 11.364877050768623;"{""coordinates"": [11.364877050768623, 44.476825043914474], ""type"": ""Point""}"
16341;44.47657612243744, 11.365282867413082;"{""coordinates"": [11.365282867413082, 44.47657612243744], ""type"": ""Point""}"
16344;44.48531843886134, 11.367906553312338;"{""coordinates"": [11.367906553312338, 44.48531843886134], ""type"": ""Point""}"
16347;44.48061649199482, 11.369390743106228;"{""coordinates"": [11.369390743106228, 44.48061649199482], ""type"": ""Point""}"
16348;44.48097952365758, 11.36963396379712;"{""coordinates"": [11.36963396379712, 44.48097952365758], ""type"": ""Point""}"
16352;44.47923590693127, 11.369506993073788;"{""coordinates"": [11.369506993073788, 44.47923590693127], ""type"": ""Point""}"
16356;44.48624888814892, 11.370077953005987;"{""coordinates"": [11.370077953005987, 44.48624888814892], ""type"": ""Point""}"
16358;44.49008762576735, 11.37304464884756;"{""coordinates"": [11.37304464884756, 44.49008762576735], ""type"": ""Point""}"
16360;44.48833977016663, 11.372467897562993;"{""coordinates"": [11.372467897562993, 44.48833977016663], ""type"": ""Point""}"
16366;44.48789463895718, 11.372980620841592;"{""coordinates"": [11.372980620841592, 44.48789463895718], ""type"": ""Point""}"
16369;44.48143562360778, 11.380478925659098;"{""coordinates"": [11.380478925659098, 44.48143562360778], ""type"": ""Point""}"
16375;44.47876658070474, 11.388328097500162;"{""coordinates"": [11.388328097500162, 44.47876658070474], ""type"": ""Point""}"
14483;44.52408291480349, 11.296683541497494;"{""coordinates"": [11.296683541497494, 44.52408291480349], ""type"": ""Point""}"
17284;44.51395662362739, 11.37757330183521;"{""coordinates"": [11.37757330183521, 44.51395662362739], ""type"": ""Point""}"
17285;44.51329641486226, 11.377002136707738;"{""coordinates"": [11.377002136707738, 44.51329641486226], ""type"": ""Point""}"
17286;44.52703177992917, 11.294225240761948;"{""coordinates"": [11.294225240761948, 44.52703177992917], ""type"": ""Point""}"
18069;44.51011806345521, 11.378467639334533;"{""coordinates"": [11.378467639334533, 44.51011806345521], ""type"": ""Point""}"
17779;44.5211779768471, 11.321747543574025;"{""coordinates"": [11.321747543574025, 44.5211779768471], ""type"": ""Point""}"
