CODICE;Geo Point;Geo Shape
14732;44.495393183191695, 11.322092594923777;"{""coordinates"": [11.322092594923777, 44.495393183191695], ""type"": ""Point""}"
16913;44.494994385968155, 11.316117760099539;"{""coordinates"": [11.316117760099539, 44.494994385968155], ""type"": ""Point""}"
16915;44.49489984396639, 11.315637900380615;"{""coordinates"": [11.315637900380615, 44.49489984396639], ""type"": ""Point""}"
16916;44.49561732788121, 11.315364265619687;"{""coordinates"": [11.315364265619687, 44.49561732788121], ""type"": ""Point""}"
15810;44.486356444377066, 11.319880901982591;"{""coordinates"": [11.319880901982591, 44.486356444377066], ""type"": ""Point""}"
15813;44.450762364842966, 11.361470088109698;"{""coordinates"": [11.361470088109698, 44.450762364842966], ""type"": ""Point""}"
15819;44.49343156786321, 11.379389340141024;"{""coordinates"": [11.379389340141024, 44.49343156786321], ""type"": ""Point""}"
15823;44.49577617381622, 11.345308998189937;"{""coordinates"": [11.345308998189937, 44.49577617381622], ""type"": ""Point""}"
15842;44.47731109356484, 11.396719032669075;"{""coordinates"": [11.396719032669075, 44.47731109356484], ""type"": ""Point""}"
15865;44.49123959564088, 11.328482941188442;"{""coordinates"": [11.328482941188442, 44.49123959564088], ""type"": ""Point""}"
15873;44.46927417209831, 11.386998037060462;"{""coordinates"": [11.386998037060462, 44.46927417209831], ""type"": ""Point""}"
15885;44.49419302598981, 11.375849348841282;"{""coordinates"": [11.375849348841282, 44.49419302598981], ""type"": ""Point""}"
15886;44.494225472863036, 11.37743445418485;"{""coordinates"": [11.37743445418485, 44.494225472863036], ""type"": ""Point""}"
15899;44.49927953569203, 11.329122310200928;"{""coordinates"": [11.329122310200928, 44.49927953569203], ""type"": ""Point""}"
15903;44.4879847207913, 11.328228091993644;"{""coordinates"": [11.328228091993644, 44.4879847207913], ""type"": ""Point""}"
16773;44.48527630082743, 11.34840886617274;"{""coordinates"": [11.34840886617274, 44.48527630082743], ""type"": ""Point""}"
16787;44.48789978344866, 11.345357605979803;"{""coordinates"": [11.345357605979803, 44.48789978344866], ""type"": ""Point""}"
16779;44.49833168297992, 11.356588255599394;"{""coordinates"": [11.356588255599394, 44.49833168297992], ""type"": ""Point""}"
16784;44.487992126217726, 11.345134408777527;"{""coordinates"": [11.345134408777527, 44.487992126217726], ""type"": ""Point""}"
10167;44.499585658285234, 11.328321392238404;"{""coordinates"": [11.328321392238404, 44.499585658285234], ""type"": ""Point""}"
16793;44.499435665283116, 11.328629949012962;"{""coordinates"": [11.328629949012962, 44.499435665283116], ""type"": ""Point""}"
16799;44.49973872650035, 11.335997751933986;"{""coordinates"": [11.335997751933986, 44.49973872650035], ""type"": ""Point""}"
16812;44.47942371075307, 11.352508743017335;"{""coordinates"": [11.352508743017335, 44.47942371075307], ""type"": ""Point""}"
16825;44.502138992262815, 11.361828775944213;"{""coordinates"": [11.361828775944213, 44.502138992262815], ""type"": ""Point""}"
16829;44.49708309106584, 11.350524854990379;"{""coordinates"": [11.350524854990379, 44.49708309106584], ""type"": ""Point""}"
15914;44.48234524486357, 11.314507812184418;"{""coordinates"": [11.314507812184418, 44.48234524486357], ""type"": ""Point""}"
15917;44.47773682494995, 11.379736254670657;"{""coordinates"": [11.379736254670657, 44.47773682494995], ""type"": ""Point""}"
15920;44.4553690653089, 11.36993911139996;"{""coordinates"": [11.36993911139996, 44.4553690653089], ""type"": ""Point""}"
15929;44.4946603839737, 11.373938123587012;"{""coordinates"": [11.373938123587012, 44.4946603839737], ""type"": ""Point""}"
15945;44.50144041929344, 11.327428949737168;"{""coordinates"": [11.327428949737168, 44.50144041929344], ""type"": ""Point""}"
15954;44.54579669501965, 11.351326243709446;"{""coordinates"": [11.351326243709446, 44.54579669501965], ""type"": ""Point""}"
15953;44.549017746847014, 11.352676893400663;"{""coordinates"": [11.352676893400663, 44.549017746847014], ""type"": ""Point""}"
15972;44.51999066067635, 11.26776959354447;"{""coordinates"": [11.26776959354447, 44.51999066067635], ""type"": ""Point""}"
15974;44.54868218678784, 11.35381842167982;"{""coordinates"": [11.35381842167982, 44.54868218678784], ""type"": ""Point""}"
15978;44.52273196828123, 11.295285517898579;"{""coordinates"": [11.295285517898579, 44.52273196828123], ""type"": ""Point""}"
15992;44.471925668605145, 11.342338066798353;"{""coordinates"": [11.342338066798353, 44.471925668605145], ""type"": ""Point""}"
16023;44.53318339527233, 11.346431323852684;"{""coordinates"": [11.346431323852684, 44.53318339527233], ""type"": ""Point""}"
15065;44.48228747192695, 11.359743666227974;"{""coordinates"": [11.359743666227974, 44.48228747192695], ""type"": ""Point""}"
15066;44.48165533778973, 11.35888027304496;"{""coordinates"": [11.35888027304496, 44.48165533778973], ""type"": ""Point""}"
15067;44.48169041215388, 11.36066493640942;"{""coordinates"": [11.36066493640942, 44.48169041215388], ""type"": ""Point""}"
17073;44.48345794042832, 11.342013586923876;"{""coordinates"": [11.342013586923876, 44.48345794042832], ""type"": ""Point""}"
17074;44.498601631242096, 11.335919760202868;"{""coordinates"": [11.335919760202868, 44.498601631242096], ""type"": ""Point""}"
17076;44.49699792570898, 11.318221071226832;"{""coordinates"": [11.318221071226832, 44.49699792570898], ""type"": ""Point""}"
15960;44.48637452713266, 11.382933220736927;"{""coordinates"": [11.382933220736927, 44.48637452713266], ""type"": ""Point""}"
17081;44.52242273786086, 11.2408482379364;"{""coordinates"": [11.2408482379364, 44.52242273786086], ""type"": ""Point""}"
17403;44.52126405545173, 11.339933087318856;"{""coordinates"": [11.339933087318856, 44.52126405545173], ""type"": ""Point""}"
17404;44.520771933573755, 11.338603613602643;"{""coordinates"": [11.338603613602643, 44.520771933573755], ""type"": ""Point""}"
16617;44.52192348124422, 11.33770677310181;"{""coordinates"": [11.33770677310181, 44.52192348124422], ""type"": ""Point""}"
16175;44.493515099375166, 11.378344074995406;"{""coordinates"": [11.378344074995406, 44.493515099375166], ""type"": ""Point""}"
16183;44.49448031042735, 11.38169735663187;"{""coordinates"": [11.38169735663187, 44.49448031042735], ""type"": ""Point""}"
16190;44.493374486613966, 11.38388443623438;"{""coordinates"": [11.38388443623438, 44.493374486613966], ""type"": ""Point""}"
16197;44.497798119984836, 11.373049453860563;"{""coordinates"": [11.373049453860563, 44.497798119984836], ""type"": ""Point""}"
